Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
123,2023-05-03,CUST123,Male,35,Electronics,3,300,900
124,2023-05-04,CUST124,Female,40,Beauty,4,500,2000
125,2023-05-05,CUST125,Male,45,Clothing,1,30,30
126,2023-05-06,CUST126,Female,50,Electronics,2,50,100
127,2023-05-07,CUST127,Male,25,Beauty,3,300,900
128,2023-05-08,CUST128,Female,30,Clothing,4,500,2000
129,2023-05-09,CUST129,Male,35,Electronics,1,30,30
130,2023-05-10,CUST130,Female,40,Beauty,2,50,100
131,2023-05-11,CUST131,Male,45,Clothing,3,300,900
132,2023-05-12,CUST132,Female,50,Electronics,4,500,2000
133,2023-05-13,CUST133,Male,25,Beauty,1,30,30
134,2023-05-14,CUST134,Female,30,Clothing,2,50,100
135,2023-05-15,CUST135,Male,35,Electronics,3,300,900
136,2023-05-16,CUST136,Female,40,Beauty,4,500,2000
137,2023-05-17,CUST137,Male,45,Clothing,1,30,30
138,2023-05-18,CUST138,Female,50,Electronics,2,50,100
139,2023-05-19,CUST139,Male,25,Beauty,3,300,900
140,2023-05-20,CUST140,Female,30,Clothing,4,500,2000
141,2023-05-21,CUST141,Male,35,Electronics,1,30,30
142,2023-05-22,CUST142,Female,40,Beauty,2,50,100
143,2023-05-23,CUST143,Male,45,Clothing,3,300,900
144,2023-05-24,CUST144,Female,50,Electronics,4,500,2000
145,2023-05-25,CUST145,Male,25,Beauty,1,30,30
146,2023-05-26,CUST146,Female,30,Clothing,2,50,100
147,2023-05-27,CUST147,Male,35,Electronics,3,300,900
148,2023-05-28,CUST148,Female,40,Beauty,4,500,2000
149,2023-05-29,CUST149,Male,45,Clothing,1,30,30
150,2023-05-30,CUST150,Female,50,Electronics,2,50,100
151,2023-05-31,CUST151,Male,25,Beauty,3,300,900
152,2023-06-01,CUST152,Female,30,Clothing,4,500,2000
153,2023-06-02,CUST153,Male,35,Electronics,1,30,30
154,2023-06-03,CUST154,Female,40,Beauty,2,50,100
155,2023-06-04,CUST155,Male,45,Clothing,3,300,900
156,2023-06-05,CUST156,Female,50,Electronics,4,500,2000
157,2023-06-06,CUST157,Male,25,Beauty,1,30,30
158,2023-06-07,CUST158,Female,30,Clothing,2,50,100
159,2023-06-08,CUST159,Male,35,Electronics,3,300,900
160,2023-06-09,CUST160,Female,40,Beauty,4,500,2000
161,2023-06-10,CUST161,Male,45,Clothing,1,30,30
162,2023-06-11,CUST162,Female,50,Electronics,2,50,100
163,2023-06-12,CUST163,Male,25,Beauty,3,300,900
164,2023-06-13,CUST164,Female,30,Clothing,4,500,2000
165,2023-06-14,CUST165,Male,35,Electronics,1,30,30
166,2023-06-15,CUST166,Female,40,Beauty,2,50,100
167,2023-06-16,CUST167,Male,45,Clothing,3,300,900
168,2023-06-17,CUST168,Female,50,Electronics,4,500,2000
169,2023-06-18,CUST169,Male,25,Beauty,1,30,30
170,2023-06-19,CUST170,Female,30,Clothing,2,50,100
171,2023-06-20,CUST171,Male,35,Electronics,3,300,900
172,2023-06-21,CUST172,Female,40,Beauty,4,500,2000
173,2023-06-22,CUST173,Male,45,Clothing,1,30,30
174,2023-06-23,CUST174,Female,50,Electronics,2,50,100
175,2023-06-24,CUST175,Male,25,Beauty,3,300,900
176,2023-06-25,CUST176,Female,30,Clothing,4,500,2000
177,2023-06-26,CUST177,Male,35,Electronics,1,30,30
178,2023-06-27,CUST178,Female,40,Beauty,2,50,100
179,2023-06-28,CUST179,Male,45,Clothing,3,300,900
180,2023-06-29,CUST180,Female,50,Electronics,4,500,2000
181,2023-06-30,CUST181,Male,25,Beauty,1,30,30
182,2023-07-01,CUST182,Female,30,Clothing,2,50,100
183,2023-07-02,CUST183,Male,35,Electronics,3,300,900
184,2023-07-03,CUST184,Female,40,Beauty,4,500,2000
185,2023-07-04,CUST185,Male,45,Clothing,1,30,30
186,2023-07-05,CUST186,Female,50,Electronics,2,50,100
187,2023-07-06,CUST187,Male,25,Beauty,3,300,900
188,2023-07-07,CUST188,Female,30,Clothing,4,500,2000
189,2023-07-08,CUST189,Male,35,Electronics,1,30,30
190,2023-07-09,CUST190,Female,40,Beauty,2,50,100
191,2023-07-10,CUST191,Male,45,Clothing,3,300,900
192,2023-07-11,CUST192,Female,50,Electronics,4,500,2000
193,2023-07-12,CUST193,Male,25,Beauty,1,30,30
194,2023-07-13,CUST194,Female,30,Clothing,2,50,100
195,2023-07-14,CUST195,Male,35,Electronics,3,300,900
196,2023-07-15,CUST196,Female,40,Beauty,4,500,2000
197,2023-07-16,CUST197,Male,45,Clothing,1,30,30
198,2023-07-17,CUST198,Female,50,Electronics,2,50,100
199,2023-07-18,CUST199,Male,25,Beauty,3,300,900
200,2023-07-19,CUST200,Female,30,Clothing,4,500,2000
201,2023-07-20,CUST201,Male,35,Electronics,1,30,30
202,2023-07-21,CUST202,Female,40,Beauty,2,50,100
203,2023-07-22,CUST203,Male,45,Clothing,3,300,900
204,2023-07-23,CUST204,Female,50,Electronics,4,500,2000
205,2023-07-24,CUST205,Male,25,Beauty,1,30,30
206,2023-07-25,CUST206,Female,30,Clothing,2,50,100
207,2023-07-26,CUST207,Male,35,Electronics,3,300,900
208,2023-07-27,CUST208,Female,40,Beauty,4,500,2000
209,2023-07-28,CUST209,Male,45,Clothing,1,30,30
210,2023-07-29,CUST210,Female,50,Electronics,2,50,100
211,2023-07-30,CUST211,Male,25,Beauty,3,300,900
212,2023-07-31,CUST212,Female,30,Clothing,4,500,2000
213,2023-08-01,CUST213,Male,35,Electronics,1,30,30
214,2023-08-02,CUST214,Female,40,Beauty,2,50,100
215,2023-08-03,CUST215,Male,45,Clothing,3,300,900
216,2023-08-04,CUST216,Female,50,Electronics,4,500,2000
217,2023-08-05,CUST217,Male,25,Beauty,1,30,30
218,2023-08-06,CUST218,Female,30,Clothing,2,50,100
219,2023-08-07,CUST219,Male,35,Electronics,3,300,900
220,2023-08-08,CUST220,Female,40,Beauty,4,500,2000
221,2023-08-09,CUST221,Male,45,Clothing,1,30,30
222,2023-08-10,CUST222,Female,50,Electronics,2,50,100
223,2023-08-11,CUST223,Male,25,Beauty,3,300,900
224,2023-08-12,CUST224,Female,30,Clothing,4,500,2000
225,2023-08-13,CUST225,Male,35,Electronics,1,30,30
226,2023-08-14,CUST226,Female,40,Beauty,2,50,100
227,2023-08-15,CUST227,Male,45,Clothing,3,300,900
228,2023-08-16,CUST228,Female,50,Electronics,4,500,2000
229,2023-08-17,CUST229,Male,25,Beauty,1,30,30
230,2023-08-18,CUST230,Female,30,Clothing,2,50,100
231,2023-08-19,CUST231,Male,35,Electronics,3,300,900
232,2023-08-20,CUST232,Female,40,Beauty,4,500,2000
233,2023-08-21,CUST233,Male,45,Clothing,1,30,30
234,2023-08-22,CUST234,Female,50,Electronics,2,50,100
235,2023-08-23,CUST235,Male,25,Beauty,3,300,900
236,2023-08-24,CUST236,Female,30,Clothing,4,500,2000
237,2023-08-25,CUST237,Male,35,Electronics,1,30,30
238,2023-08-26,CUST238,Female,40,Beauty,2,50,100
239,2023-08-27,CUST239,Male,45,Clothing,3,300,900
240,2023-08-28,CUST240,Female,50,Electronics,4,500,2000
241,2023-08-29,CUST241,Male,25,Beauty,1,30,30
242,2023-08-30,CUST242,Female,30,Clothing,2,50,100
243,2023-08-31,CUST243,Male,35,Electronics,3,300,900
244,2023-09-01,CUST244,Female,40,Beauty,4,500,2000
245,2023-09-02,CUST245,Male,45,Clothing,1,30,30
246,2023-09-03,CUST246,Female,50,Electronics,2,50,100
247,2023-09-04,CUST247,Male,25,Beauty,3,300,900
248,2023-09-05,CUST248,Female,30,Clothing,4,500,2000
249,2023-09-06,CUST249,Male,35,Electronics,1,30,30
250,2023-09-07,CUST250,Female,40,Beauty,2,50,100
251,2023-09-08,CUST251,Male,45,Clothing,3,300,900
252,2023-09-09,CUST252,Female,50,Electronics,4,500,2000
253,2023-09-10,CUST253,Male,25,Beauty,1,30,30
254,2023-09-11,CUST254,Female,30,Clothing,2,50,100
255,2023-09-12,CUST255,Male,35,Electronics,3,300,900
256,2023-09-13,CUST256,Female,40,Beauty,4,500,2000
257,2023-09-14,CUST257,Male,45,Clothing,1,30,30
258,2023-09-15,CUST258,Female,50,Electronics,2,50,100
259,2023-09-16,CUST259,Male,25,Beauty,3,300,900
260,2023-09-17,CUST260,Female,30,Clothing,4,500,2000
261,2023-09-18,CUST261,Male,35,Electronics,1,30,30
262,2023-09-19,CUST262,Female,40,Beauty,2,50,100
263,2023-09-20,CUST263,Male,45,Clothing,3,300,900
264,2023-09-21,CUST264,Female,50,Electronics,4,500,2000
265,2023-09-22,CUST265,Male,25,Beauty,1,30,30
266,2023-09-23,CUST266,Female,30,Clothing,2,50,100
267,2023-09-24,CUST267,Male,35,Electronics,3,300,900
268,2023-09-25,CUST268,Female,40,Beauty,4,500,2000
269,2023-09-26,CUST269,Male,45,Clothing,1,30,30
270,2023-09-27,CUST270,Female,50,Electronics,2,50,100
271,2023-09-28,CUST271,Male,25,Beauty,3,300,900
272,2023-09-29,CUST272,Female,30,Clothing,4,500,2000
273,2023-09-30,CUST273,Male,35,Electronics,1,30,30
274,2023-10-01,CUST274,Female,40,Beauty,2,50,100
275,2023-10-02,CUST275,Male,45,Clothing,3,300,900
276,2023-10-03,CUST276,Female,50,Electronics,4,500,2000
277,2023-10-04,CUST277,Male,25,Beauty,1,30,30
278,2023-10-05,CUST278,Female,30,Clothing,2,50,100
279,2023-10-06,CUST279,Male,35,Electronics,3,300,900
280,2023-10-07,CUST280,Female,40,Beauty,4,500,2000
281,2023-10-08,CUST281,Male,45,Clothing,1,30,30
282,2023-10-09,CUST282,Female,50,Electronics,2,50,100
283,2023-10-10,CUST283,Male,25,Beauty,3,300,900
284,2023-10-11,CUST284,Female,30,Clothing,4,500,2000
285,2023-10-12,CUST285,Male,35,Electronics,1,30,30
286,2023-10-13,CUST286,Female,40,Beauty,2,50,100
287,2023-10-14,CUST287,Male,45,Clothing,3,300,900
288,2023-10-15,CUST288,Female,50,Electronics,4,500,2000
289,2023-10-16,CUST289,Male,25,Beauty,1,30,30
290,2023-10-17,CUST290,Female,30,Clothing,2,50,100
291,2023-10-18,CUST291,Male,35,Electronics,3,300,900
292,2023-10-19,CUST292,Female,40,Beauty,4,500,2000
293,2023-10-20,CUST293,Male,45,Clothing,1,30,30
294,2023-10-21,CUST294,Female,50,Electronics,2,50,100
295,2023-10-22,CUST295,Male,25,Beauty,3,300,900
296,2023-10-23,CUST296,Female,30,Clothing,4,500,2000
297,2023-10-24,CUST297,Male,35,Electronics,1,30,30
298,2023-10-25,CUST298,Female,40,Beauty,2,50,100
299,2023-10-26,CUST299,Male,45,Clothing,3,300,900
300,2023-10-27,CUST300,Female,50,Electronics,4,500,2000
301,2023-10-28,CUST301,Male,25,Beauty,1,30,30
302,2023-10-29,CUST302,Female,30,Clothing,2,50,100
303,2023-10-30,CUST303,Male,35,Electronics,3,300,900
304,2023-10-31,CUST304,Female,40,Beauty,4,500,2000
305,2023-11-01,CUST305,Male,45,Clothing,1,30,30
306,2023-11-02,CUST306,Female,50,Electronics,2,50,100
307,2023-11-03,CUST307,Male,25,Beauty,3,300,900
308,2023-11-04,CUST308,Female,30,Clothing,4,500,2000
309,2023-11-05,CUST309,Male,35,Electronics,1,30,30
310,2023-11-06,CUST310,Female,40,Beauty,2,50,100
311,2023-11-07,CUST311,Male,45,Clothing,3,300,900
312,2023-11-08,CUST312,Female,50,Electronics,4,500,2000
313,2023-11-09,CUST313,Male,25,Beauty,1,30,30
314,2023-11-10,CUST314,Female,30,Clothing,2,50,100
315,2023-11-11,CUST315,Male,35,Electronics,3,300,900
316,2023-11-12,CUST316,Female,40,Beauty,4,500,2000
317,2023-11-13,CUST317,Male,45,Clothing,1,30,30
318,2023-11-14,CUST318,Female,50,Electronics,2,50,100
319,2023-11-15,CUST319,Male,25,Beauty,3,300,900
320,2023-11-16,CUST320,Female,30,Clothing,4,500,2000
321,2023-11-17,CUST321,Male,35,Electronics,1,30,30
322,2023-11-18,CUST322,Female,40,Beauty,2,50,100
323,2023-11-19,CUST323,Male,45,Clothing,3,300,900
324,2023-11-20,CUST324,Female,50,Electronics,4,500,2000
325,2023-11-21,CUST325,Male,25,Beauty,1,30,30
326,2023-11-22,CUST326,Female,30,Clothing,2,50,100
327,2023-11-23,CUST327,Male,35,Electronics,3,300,900
328,2023-11-24,CUST328,Female,40,Beauty,4,500,2000
329,2023-11-25,CUST329,Male,45,Clothing,1,30,30
330,2023-11-26,CUST330,Female,50,Electronics,2,50,100
331,2023-11-27,CUST331,Male,25,Beauty,3,300,900
332,2023-11-28,CUST332,Female,30,Clothing,4,500,2000
333,2023-11-29,CUST333,Male,35,Electronics,1,30,30
334,2023-11-30,CUST334,Female,40,Beauty,2,50,100
335,2023-12-01,CUST335,Male,45,Clothing,3,300,900
336,2023-12-02,CUST336,Female,50,Electronics,4,500,2000
337,2023-12-03,CUST337,Male,25,Beauty,1,30,30
338,2023-12-04,CUST338,Female,30,Clothing,2,50,100
339,2023-12-05,CUST339,Male,35,Electronics,3,300,900
340,2023-12-06,CUST340,Female,40,Beauty,4,500,2000
341,2023-12-07,CUST341,Male,45,Clothing,1,30,30
342,2023-12-08,CUST342,Female,50,Electronics,2,50,100
343,2023-12-09,CUST343,Male,25,Beauty,3,300,900
344,2023-12-10,CUST344,Female,30,Clothing,4,500,2000
345,2023-12-11,CUST345,Male,35,Electronics,1,30,30
346,2023-12-12,CUST346,Female,40,Beauty,2,50,100
347,2023-12-13,CUST347,Male,45,Clothing,3,300,900
348,2023-12-14,CUST348,Female,50,Electronics,4,500,2000
349,2023-12-15,CUST349,Male,25,Beauty,1,30,30
350,2023-12-16,CUST350,Female,30,Clothing,2,50,100
351,2023-12-17,CUST351,Male,35,Electronics,3,300,900
352,2023-12-18,CUST352,Female,40,Beauty,4,500,2000
353,2023-12-19,CUST353,Male,45,Clothing,1,30,30
354,2023-12-20,CUST354,Female,50,Electronics,2,50,100
355,2023-12-21,CUST355,Male,25,Beauty,3,300,900
356,2023-12-22,CUST356,Female,30,Clothing,4,500,2000
357,2023-12-23,CUST357,Male,35,Electronics,1,30,30
358,2023-12-24,CUST358,Female,40,Beauty,2,50,100
359,2023-12-25,CUST359,Male,45,Clothing,3,300,900
360,2023-12-26,CUST360,Female,50,Electronics,4,500,2000
361,2023-12-27,CUST361,Male,25,Beauty,1,30,30
362,2023-12-28,CUST362,Female,30,Clothing,2,50,100
363,2023-12-29,CUST363,Male,35,Electronics,3,300,900
364,2023-12-30,CUST364,Female,40,Beauty,4,500,2000
365,2023-12-31,CUST365,Male,45,Clothing,1,30,30
366,2024-01-01,CUST366,Female,50,Electronics,2,50,100
367,2024-01-02,CUST367,Male,25,Beauty,3,300,900
368,2024-01-03,CUST368,Female,30,Clothing,4,500,2000
369,2024-01-04,CUST369,Male,35,Electronics,1,30,30
370,2024-01-05,CUST370,Female,40,Beauty,2,50,100
371,2024-01-06,CUST371,Male,45,Clothing,3,300,900
372,2024-01-07,CUST372,Female,50,Electronics,4,500,2000
373,2024-01-08,CUST373,Male,25,Beauty,1,30,30
374,2024-01-09,CUST374,Female,30,Clothing,2,50,100
375,2024-01-10,CUST375,Male,35,Electronics,3,300,900
376,2024-01-11,CUST376,Female,40,Beauty,4,500,2000
377,2024-01-12,CUST377,Male,45,Clothing,1,30,30
378,2024-01-13,CUST378,Female,50,Electronics,2,50,100
379,2024-01-14,CUST379,Male,25,Beauty,3,300,900
380,2024-01-15,CUST380,Female,30,Clothing,4,500,2000
381,2024-01-16,CUST381,Male,35,Electronics,1,30,30
382,2024-01-17,CUST382,Female,40,Beauty,2,50,100
383,2024-01-18,CUST383,Male,45,Clothing,3,300,900
384,2024-01-19,CUST384,Female,50,Electronics,4,500,2000
385,2024-01-20,CUST385,Male,25,Beauty,1,30,30
386,2024-01-21,CUST386,Female,30,Clothing,2,50,100
387,2024-01-22,CUST387,Male,35,Electronics,3,300,900
388,2024-01-23,CUST388,Female,40,Beauty,4,500,2000
389,2024-01-24,CUST389,Male,45,Clothing,1,30,30
390,2024-01-25,CUST390,Female,50,Electronics,2,50,100
391,2024-01-26,CUST391,Male,25,Beauty,3,300,900
392,2024-01-27,CUST392,Female,30,Clothing,4,500,2000
393,2024-01-28,CUST393,Male,35,Electronics,1,30,30
394,2024-01-29,CUST394,Female,40,Beauty,2,50,100
395,2024-01-30,CUST395,Male,45,Clothing,3,300,900
396,2024-01-31,CUST396,Female,50,Electronics,4,500,2000
397,2024-02-01,CUST397,Male,25,Beauty,1,30,30
398,2024-02-02,CUST398,Female,30,Clothing,2,50,100
399,2024-02-03,CUST399,Male,35,Electronics,3,300,900
400,2024-02-04,CUST400,Female,40,Beauty,4,500,2000
401,2024-02-05,CUST401,Male,45,Clothing,1,30,30
402,2024-02-06,CUST402,Female,50,Electronics,2,50,100
403,2024-02-07,CUST403,Male,25,Beauty,3,300,900
404,2024-02-08,CUST404,Female,30,Clothing,4,500,2000
405,2024-02-09,CUST405,Male,35,Electronics,1,30,30
406,2024-02-10,CUST406,Female,40,Beauty,2,50,100
407,2024-02-11,CUST407,Male,45,Clothing,3,300,900
408,2024-02-12,CUST408,Female,50,Electronics,4,500,2000
409,2024-02-13,CUST409,Male,25,Beauty,1,30,30
410,2024-02-14,CUST410,Female,30,Clothing,2,50,100
411,2024-02-15,CUST411,Male,35,Electronics,3,300,900
412,2024-02-16,CUST412,Female,40,Beauty,4,500,2000
413,2024-02-17,CUST413,Male,45,Clothing,1,30,30
414,2024-02-18,CUST414,Female,50,Electronics,2,50,100
415,2024-02-19,CUST415,Male,25,Beauty,3,300,900
416,2024-02-20,CUST416,Female,30,Clothing,4,500,2000
417,2024-02-21,CUST417,Male,35,Electronics,1,30,30
418,2024-02-22,CUST418,Female,40,Beauty,2,50,100
419,2024-02-23,CUST419,Male,45,Clothing,3,300,900
420,2024-02-24,CUST420,Female,50,Electronics,4,500,2000
421,2024-02-25,CUST421,Male,25,Beauty,1,30,30
422,2024-02-26,CUST422,Female,30,Clothing,2,50,100
423,2024-02-27,CUST423,Male,35,Electronics,3,300,900
424,2024-02-28,CUST424,Female,40,Beauty,4,500,2000
425,2024-02-29,CUST425,Male,45,Clothing,1,30,30
426,2024-03-01,CUST426,Female,50,Electronics,2,50,100
427,2024-03-02,CUST427,Male,25,Beauty,3,300,900
428,2024-03-03,CUST428,Female,30,Clothing,4,500,2000
429,2024-03-04,CUST429,Male,35,Electronics,1,30,30
430,2024-03-05,CUST430,Female,40,Beauty,2,50,100
431,2024-03-06,CUST431,Male,45,Clothing,3,300,900
432,2024-03-07,CUST432,Female,50,Electronics,4,500,2000
433,2024-03-08,CUST433,Male,25,Beauty,1,30,30
434,2024-03-09,CUST434,Female,30,Clothing,2,50,100
435,2024-03-10,CUST435,Male,35,Electronics,3,300,900
436,2024-03-11,CUST436,Female,40,Beauty,4,500,2000
437,2024-03-12,CUST437,Male,45,Clothing,1,30,30
438,2024-03-13,CUST438,Female,50,Electronics,2,50,100
439,2024-03-14,CUST439,Male,25,Beauty,3,300,900
440,2024-03-15,CUST440,Female,30,Clothing,4,500,2000
441,2024-03-16,CUST441,Male,35,Electronics,1,30,30
442,2024-03-17,CUST442,Female,40,Beauty,2,50,100
443,2024-03-18,CUST443,Male,45,Clothing,3,300,900
444,2024-03-19,CUST444,Female,50,Electronics,4,500,2000
445,2024-03-20,CUST445,Male,25,Beauty,1,30,30
446,2024-03-21,CUST446,Female,30,Clothing,2,50,100
447,2024-03-22,CUST447,Male,35,Electronics,3,300,900
448,2024-03-23,CUST448,Female,40,Beauty,4,500,2000
449,2024-03-24,CUST449,Male,45,Clothing,1,30,30
450,2024-03-25,CUST450,Female,50,Electronics,2,50,100
451,2024-03-26,CUST451,Male,25,Beauty,3,300,900
452,2024-03-27,CUST452,Female,30,Clothing,4,500,2000
453,2024-03-28,CUST453,Male,35,Electronics,1,30,30
454,2024-03-29,CUST454,Female,40,Beauty,2,50,100
455,2024-03-30,CUST455,Male,45,Clothing,3,300,900
456,2024-03-31,CUST456,Female,50,Electronics,4,500,2000
457,2024-04-01,CUST457,Male,25,Beauty,1,30,30
458,2024-04-02,CUST458,Female,30,Clothing,2,50,100
459,2024-04-03,CUST459,Male,35,Electronics,3,300,900
